# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496431 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/mo.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496432 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/mn.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496433 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/ml.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456498764 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ee.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496440 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/lv.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496441 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/lu.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496442 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/ly.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 5 53 16777236 456492524 3 ./scripts-old/ntop/ntop/.svn/prop-base/oui.txt.gz.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456499315 3 ./scripts-old/ntop/ntop/html/.svn/prop-base/blank.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496443 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/lr.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496444 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/ls.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492528 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/prop-base/amiga.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492530 3 ./scripts-old/ntop/ntop/html/statsicons/os/.svn/props/windows.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456498763 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/do.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456498762 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ec.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492135 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/fr.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492134 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/fx.gif.svn-base
